epoch,train_loss,val_loss
1,0.959119,0.939737
2,0.922260,0.900503
3,0.817269,0.712876
4,0.676552,0.642497
5,0.619440,0.607131
6,0.607080,0.610432
7,0.595291,0.588901
8,0.585406,0.583551
9,0.584597,0.610334
10,0.589541,0.572688
11,0.581655,0.576874
12,0.577024,0.584946
13,0.574394,0.576052
14,0.577064,0.582163
15,0.575079,0.567909
16,0.569068,0.582305
17,0.570374,0.579362
18,0.567752,0.565861
19,0.566791,0.567007
20,0.570648,0.573884
21,0.567033,0.569421
22,0.563191,0.567262
23,0.564706,0.568294
24,0.563805,0.567917
25,0.565454,0.571935
26,0.564011,0.565843
27,0.556811,0.565622
28,0.559867,0.574208
29,0.558479,0.568091
30,0.559111,0.582442
