epoch,train_loss,val_loss,val_dice,val_iou,val_recall,val_precision,learning_rate
1,0.846422,0.831675,0.093296,0.050428,0.756681,0.052113,0.001
2,0.734125,0.718698,0.204327,0.119591,0.781154,0.122741,0.001
3,0.639305,0.583995,0.365954,0.225106,0.840899,0.237171,0.001
4,0.554492,0.553902,0.396544,0.250828,0.628104,0.300649,0.001
5,0.517114,0.502911,0.398409,0.24994,0.82541,0.267514,0.001
6,0.501179,0.516754,0.366775,0.227109,0.821749,0.239449,0.001
7,0.490345,0.474917,0.425054,0.272263,0.767363,0.298043,0.001
8,0.476749,0.470017,0.451601,0.295914,0.635157,0.356705,0.001
9,0.471407,0.456578,0.450567,0.293865,0.713862,0.334212,0.001
10,0.472317,0.461346,0.435011,0.28055,0.748373,0.310486,0.001
11,0.46353,0.444706,0.461578,0.304178,0.705167,0.348177,0.001
12,0.458219,0.438733,0.465326,0.306587,0.731489,0.343545,0.001
13,0.455934,0.452357,0.451454,0.296266,0.704506,0.342476,0.001
14,0.454776,0.459196,0.442942,0.288163,0.706872,0.329,0.001
15,0.452051,0.448194,0.454349,0.298449,0.726636,0.34141,0.001
16,0.460561,0.457096,0.436764,0.282376,0.772594,0.307558,0.001
17,0.452673,0.4369,0.464122,0.305896,0.7277,0.345162,0.0005
18,0.44252,0.443328,0.456416,0.299795,0.733759,0.338917,0.0005
19,0.4402,0.440357,0.461782,0.304111,0.714267,0.344492,0.0005
20,0.438036,0.432635,0.468672,0.309963,0.733127,0.348043,0.0005
21,0.441325,0.430113,0.47311,0.313853,0.730192,0.354429,0.0005
22,0.433739,0.434746,0.472338,0.313897,0.68179,0.364874,0.0005
23,0.431162,0.426848,0.473684,0.314115,0.753484,0.348539,0.0005
24,0.434579,0.455535,0.448861,0.294212,0.653916,0.345423,0.0005
25,0.435798,0.428281,0.474692,0.315462,0.724887,0.356029,0.0005
26,0.429622,0.435718,0.464287,0.306105,0.735289,0.342575,0.0005
27,0.434777,0.449644,0.452363,0.296587,0.699233,0.336893,0.0005
28,0.433651,0.436994,0.471746,0.313594,0.669594,0.370207,0.0005
29,0.436129,0.430526,0.472469,0.31358,0.722095,0.354901,0.0005
30,0.433797,0.453745,0.452515,0.298065,0.647887,0.362395,0.00025
31,0.42935,0.429656,0.475701,0.316791,0.702267,0.364494,0.00025
32,0.427056,0.430004,0.474015,0.315104,0.713786,0.359094,0.00025
33,0.421862,0.425885,0.481658,0.321933,0.690085,0.373732,0.00025
34,0.424037,0.42749,0.475413,0.316146,0.726917,0.356692,0.00025
35,0.422845,0.43594,0.468499,0.310735,0.686844,0.359173,0.00025
36,0.421957,0.42824,0.476369,0.317011,0.713469,0.360988,0.00025
37,0.421626,0.42402,0.480668,0.320949,0.717817,0.364984,0.00025
38,0.418203,0.423234,0.479379,0.319609,0.73121,0.36001,0.000125
39,0.418579,0.428092,0.47594,0.316897,0.710309,0.361135,0.000125
40,0.416262,0.423317,0.481903,0.32219,0.706288,0.36899,0.000125
41,0.41676,0.422982,0.481658,0.321866,0.711651,0.367546,0.000125
42,0.417732,0.425777,0.479577,0.320165,0.700334,0.36806,0.000125
43,0.415161,0.424709,0.480809,0.321315,0.698349,0.369986,0.000125
44,0.414777,0.425515,0.481049,0.321555,0.69952,0.369643,0.000125
45,0.413916,0.421434,0.484091,0.323985,0.708777,0.370495,0.000125
46,0.417893,0.420755,0.484667,0.324271,0.713637,0.370002,0.000125
47,0.415434,0.424292,0.481486,0.321909,0.701108,0.369578,0.000125
48,0.414792,0.420903,0.483924,0.323896,0.710795,0.369477,0.000125
49,0.415263,0.422401,0.48175,0.321954,0.712999,0.366304,0.000125
50,0.410827,0.422475,0.483641,0.323705,0.702253,0.371716,0.000125
51,0.410471,0.423262,0.483015,0.323107,0.69727,0.372346,6.25e-05
52,0.414286,0.424201,0.481285,0.321627,0.699698,0.369587,6.25e-05
53,0.410859,0.422477,0.482561,0.322701,0.703632,0.369894,6.25e-05
54,0.413544,0.422814,0.481976,0.322182,0.710806,0.367313,6.25e-05
55,0.411821,0.423806,0.481377,0.321805,0.706219,0.367799,6.25e-05
56,0.411906,0.421936,0.483665,0.323517,0.705731,0.370585,3.125e-05
57,0.412003,0.422311,0.483506,0.323434,0.705055,0.370517,3.125e-05
58,0.411872,0.421272,0.484454,0.324227,0.708055,0.370872,3.125e-05
59,0.408758,0.420263,0.485367,0.325039,0.710976,0.370935,3.125e-05
60,0.410767,0.420914,0.485178,0.325003,0.705667,0.372142,3.125e-05
